llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15778-42-11-2,2,2,64.0,1,1.0,0,0,158.062057495117,6.0,0
15778-43-11-1,1,1,81.0,1,1.0,0,0,158.062057495117,5.0,0
15778-43-11-2,2,2,63.0,1,1.0,0,0,158.062057495117,4.0,0
15778-43-11-3,3,1,37.0,1,1.0,0,0,158.062057495117,5.0,0
15778-129-11-1,1,1,42.0,1,1.0,0,0,158.062057495117,5.0,1
15778-129-11-2,2,2,43.0,1,1.0,0,0,158.062057495117,5.0,1
15778-129-11-3,3,1,16.0,1,1.0,0,0,158.062057495117,5.0,0
15778-129-11-4,3,1,12.0,0,,0,0,158.062057495117,4.0,0
15778-130-11-1,1,1,48.0,1,1.0,0,0,158.062057495117,5.0,0
15778-130-11-2,2,2,46.0,1,1.0,0,0,158.062057495117,6.0,0
15778-130-11-3,3,1,22.0,1,1.0,0,0,158.062057495117,6.0,1
15778-130-11-4,3,1,15.0,1,1.0,0,0,158.062057495117,5.0,0
15778-132-11-1,1,1,81.0,1,1.0,0,0,158.062057495117,3.0,0
15778-133-11-1,1,1,69.0,1,1.0,0,1,158.062057495117,4.0,0
15778-133-11-2,2,2,73.0,1,1.0,0,0,158.062057495117,3.0,0
15778-134-11-1,1,1,83.0,1,1.0,0,0,158.062057495117,3.0,0
15778-134-11-2,2,2,81.0,1,0.0,0,0,158.062057495117,1.0,0
15778-135-11-1,1,1,53.0,1,0.0,0,0,158.062057495117,4.0,0
15778-135-11-2,2,2,51.0,1,1.0,0,0,158.062057495117,1.0,0
15778-135-11-3,3,1,13.0,0,,0,0,158.062057495117,4.0,0
15800-4-11-1,1,2,28.0,1,1.0,1,0,18.0577507019043,10.0,0
15800-4-11-2,11,2,23.0,1,1.0,1,0,18.0577507019043,8.0,0
15800-4-11-3,7,2,1.0,0,,0,0,18.0577507019043,,0
15800-24-11-1,1,2,36.0,1,1.0,0,0,18.0577507019043,3.0,0
15800-24-11-2,3,2,16.0,1,0.0,0,0,18.0577507019043,5.0,0
15800-24-11-3,3,1,11.0,0,,0,0,18.0577507019043,3.0,0
15800-66-11-1,1,2,49.0,1,1.0,1,1,18.0577507019043,7.0,1
15800-66-11-2,3,1,26.0,1,0.0,1,0,18.0577507019043,9.0,0
15800-66-11-3,3,1,21.0,1,1.0,1,0,18.0577507019043,9.0,0
15800-87-11-1,1,2,46.0,1,1.0,0,1,18.0577507019043,7.0,0
15800-87-11-2,3,2,20.0,1,0.0,1,0,18.0577507019043,9.0,1
15800-128-11-1,1,2,47.0,1,0.0,1,1,18.0577507019043,10.0,1
15800-128-11-2,3,2,22.0,1,1.0,0,0,18.0577507019043,8.0,1
15800-128-11-3,6,1,76.0,1,0.0,0,0,18.0577507019043,10.0,0
15800-128-11-4,6,2,74.0,1,0.0,0,0,18.0577507019043,10.0,0
15800-169-11-1,1,1,51.0,1,1.0,0,0,18.0577507019043,6.0,0
15800-169-11-2,2,2,48.0,1,1.0,1,0,18.0577507019043,5.0,1
15800-169-11-3,3,1,20.0,1,0.0,1,0,18.0577507019043,7.0,0
15800-169-11-4,3,2,15.0,1,1.0,0,0,18.0577507019043,5.0,0
15800-169-11-5,0, ,,0,,0,0,18.0577507019043,,0
15807-15-11-1,1,1,50.0,1,0.0,1,1,205.901565551758,6.0,0
15807-15-11-2,2,2,39.0,1,1.0,1,0,205.901565551758,6.0,0
15807-15-11-3,3,1,21.0,1,0.0,1,0,205.901565551758,8.0,0
15807-15-11-4,3,1,13.0,0,,0,0,205.901565551758,5.0,0
15807-15-11-5,3,2,4.0,0,,0,0,205.901565551758,1.0,0
15807-91-11-1,1,1,49.0,1,1.0,0,0,205.901565551758,8.0,0
15807-91-11-2,2,2,49.0,1,1.0,1,0,205.901565551758,8.0,0
15807-91-11-3,3,2,24.0,1,1.0,0,0,205.901565551758,9.0,0
15807-91-11-4,3,1,20.0,1,0.0,0,0,205.901565551758,6.0,1
15807-91-11-5,3,1,14.0,1,1.0,0,0,205.901565551758,5.0,0
15807-132-11-1,1,2,81.0,1,1.0,0,0,205.901565551758,3.0,0
15807-132-11-2,2,1,85.0,1,0.0,0,0,205.901565551758,5.0,0
15807-132-11-3,7,2,37.0,0,,0,0,205.901565551758,,0
15810-44-11-1,1,1,66.0,1,1.0,0,0,23.0944938659668,6.0,0
15810-44-11-2,2,2,67.0,1,0.0,1,0,23.0944938659668,7.0,0
15810-44-11-3,3,1,29.0,1,0.0,1,0,23.0944938659668,10.0,0
15810-70-11-1,1,2,43.0,1,0.0,1,0,23.0944938659668,11.0,1
15810-70-11-2,3,1,21.0,1,0.0,1,0,23.0944938659668,9.0,1
15810-70-11-3,6,2,84.0,1,0.0,0,0,23.0944938659668,1.0,0
15810-96-11-1,1,1,64.0,1,0.0,1,1,23.0944938659668,9.0,1
15810-96-11-2,2,2,66.0,1,0.0,0,0,23.0944938659668,8.0,0
15810-96-11-3,0, ,,0,,0,0,23.0944938659668,,0
15810-96-11-4,0, ,,0,,0,0,23.0944938659668,,0
15810-132-11-1,1,2,57.0,1,0.0,0,0,23.0944938659668,8.0,1
15810-132-11-2,3,2,21.0,1,0.0,0,0,23.0944938659668,9.0,0
15810-132-11-3,0, ,,0,,0,0,23.0944938659668,,0
15811-53-11-1,1,2,23.0,1,0.0,1,0,27.4010639190674,9.0,0
15811-53-11-2,11,1,21.0,1,0.0,1,0,27.4010639190674,9.0,0
15811-53-11-3,11,2,16.0,1,0.0,0,0,27.4010639190674,6.0,0
15811-53-11-4,0, ,,0,,0,0,27.4010639190674,,0
15811-90-11-1,1,1,54.0,1,0.0,0,1,27.4010639190674,10.0,0
15811-90-11-2,2,2,53.0,1,0.0,1,0,27.4010639190674,8.0,0
15811-90-11-3,3,1,25.0,1,0.0,1,0,27.4010639190674,10.0,0
15811-90-11-4,3,2,18.0,1,0.0,1,0,27.4010639190674,9.0,0
15811-147-11-1,1,1,74.0,1,0.0,0,1,27.4010639190674,10.0,0
15811-147-11-2,2,2,77.0,1,0.0,0,0,27.4010639190674,8.0,0
15811-147-11-3,0, ,,0,,0,0,27.4010639190674,,0
15811-147-11-4,0, ,,0,,0,0,27.4010639190674,,0
15811-147-11-5,0, ,,0,,0,0,27.4010639190674,,0
15811-184-11-1,1,2,57.0,1,0.0,0,0,27.4010639190674,3.0,0
15812-23-11-1,1,2,61.0,1,0.0,0,0,207.465179443359,1.0,0
15812-23-11-2,3,1,34.0,1,1.0,0,0,207.465179443359,6.0,1
15812-34-11-1,1,1,54.0,1,0.0,0,0,207.465179443359,6.0,0
15812-34-11-2,3,1,22.0,1,0.0,0,1,207.465179443359,9.0,0
15812-91-11-1,1,1,43.0,1,1.0,1,1,207.465179443359,5.0,0
15812-91-11-2,2,2,41.0,1,1.0,1,1,207.465179443359,6.0,0
15812-91-11-3,3,2,19.0,1,0.0,1,0,207.465179443359,7.0,0
15812-91-11-4,3,2,13.0,0,,0,0,207.465179443359,5.0,0
15815-23-11-1,1,1,75.0,1,0.0,0,0,326.1591796875,5.0,0
15815-23-11-2,2,2,68.0,1,1.0,0,0,326.1591796875,4.0,0
15815-23-11-3,0, ,,0,,0,0,326.1591796875,,0
15815-23-11-4,0, ,,0,,0,0,326.1591796875,,0
15815-23-11-5,0, ,,0,,0,0,326.1591796875,,0
15815-23-11-6,0, ,,0,,0,0,326.1591796875,,0
15815-42-11-1,1,2,61.0,1,1.0,0,0,326.1591796875,4.0,0
15815-42-11-2,3,2,29.0,1,0.0,0,0,326.1591796875,10.0,0
15815-42-11-3,5,1,3.0,0,,0,0,326.1591796875,1.0,0
15815-42-11-4,7,1,85.0,1,0.0,0,0,326.1591796875,3.0,0
15815-58-11-1,1,2,61.0,1,1.0,0,0,326.1591796875,6.0,0
15815-58-11-2,3,2,27.0,1,0.0,1,0,326.1591796875,10.0,0
15815-58-11-3,0, ,,0,,0,0,326.1591796875,,0
15815-58-11-4,0, ,,0,,0,0,326.1591796875,,0
15815-75-11-1,1,2,30.0,1,1.0,1,0,326.1591796875,5.0,0
15815-75-11-2,3,1,13.0,0,,0,0,326.1591796875,5.0,0
15815-75-11-3,3,2,9.0,0,,0,0,326.1591796875,3.0,0
15815-75-11-4,3,2,3.0,0,,0,0,326.1591796875,1.0,0
15815-92-11-1,1,2,35.0,1,0.0,1,1,326.1591796875,8.0,0
15815-92-11-2,3,1,19.0,1,0.0,1,0,326.1591796875,9.0,0
15815-92-11-3,3,2,11.0,0,,0,0,326.1591796875,3.0,0
15815-92-11-4,0, ,,0,,0,0,326.1591796875,,0
15816-13-11-1,1,1,28.0,1,0.0,1,0,340.792907714844,6.0,1
15816-13-11-2,11,1,24.0,1,0.0,0,0,340.792907714844,6.0,0
15816-13-11-3,11,1,22.0,1,1.0,0,0,340.792907714844,6.0,1
15816-13-11-4,11,1,19.0,1,1.0,0,0,340.792907714844,6.0,1
15816-13-11-5,11,2,12.0,0,,0,0,340.792907714844,3.0,0
15816-13-11-6,0, ,,0,,0,0,340.792907714844,,0
15816-21-11-1,1,2,44.0,1,1.0,0,0,340.792907714844,6.0,0
15816-21-11-2,3,1,20.0,1,1.0,0,0,340.792907714844,6.0,0
15816-21-11-3,3,2,12.0,0,,0,0,340.792907714844,3.0,0
15816-21-11-4,3,2,12.0,0,,0,0,340.792907714844,3.0,0
15816-21-11-5,3,1,10.0,0,,0,0,340.792907714844,3.0,0
15816-42-11-1,1,1,67.0,1,1.0,0,0,340.792907714844,1.0,0
15816-42-11-2,2,2,55.0,1,0.0,0,0,340.792907714844,1.0,0
15816-42-11-3,3,1,31.0,1,1.0,0,0,340.792907714844,6.0,0
15816-42-11-4,3,1,22.0,1,1.0,1,0,340.792907714844,6.0,1
15816-42-11-5,3,2,19.0,1,1.0,0,0,340.792907714844,6.0,0
15816-42-11-6,3,2,14.0,1,0.0,0,0,340.792907714844,5.0,0
15816-58-11-1,1,1,38.0,1,1.0,1,0,340.792907714844,6.0,0
15816-58-11-2,2,2,30.0,1,1.0,1,0,340.792907714844,6.0,0
15816-58-11-3,3,2,11.0,0,,0,0,340.792907714844,3.0,0
15816-58-11-4,3,1,8.0,0,,0,0,340.792907714844,3.0,0
15816-72-11-1,1,1,53.0,1,1.0,0,0,340.792907714844,5.0,0
15816-72-11-2,2,2,52.0,1,0.0,0,0,340.792907714844,1.0,0
15816-72-11-3,3,2,34.0,1,0.0,0,0,340.792907714844,8.0,0
15816-72-11-4,6,2,96.0,1,0.0,0,0,340.792907714844,1.0,0
15817-3-11-1,1,2,41.0,1,0.0,1,0,428.027221679688,10.0,0
15817-3-11-2,11,1,33.0,1,1.0,1,1,428.027221679688,10.0,0
15817-3-11-3,11,1,22.0,1,0.0,1,0,428.027221679688,10.0,0
15817-24-11-1,1,2,70.0,1,0.0,0,0,428.027221679688,1.0,1
15817-24-11-2,3,2,30.0,1,0.0,1,1,428.027221679688,8.0,0
15817-43-11-1,1,1,39.0,1,1.0,1,0,428.027221679688,6.0,0
15817-43-11-2,2,2,43.0,1,0.0,1,0,428.027221679688,6.0,0
15817-43-11-3,3,1,13.0,0,,0,0,428.027221679688,4.0,0
15817-43-11-4,3,1,8.0,0,,0,0,428.027221679688,3.0,0
15817-43-11-5,3,2,4.0,0,,0,0,428.027221679688,1.0,0
15817-62-11-1,1,1,37.0,1,0.0,1,0,428.027221679688,8.0,1
15817-62-11-2,2,2,34.0,1,1.0,0,1,428.027221679688,7.0,0
15817-62-11-3,3,2,14.0,1,0.0,0,0,428.027221679688,5.0,0
15817-62-11-4,3,2,10.0,0,,0,0,428.027221679688,3.0,0
15817-82-11-1,1,1,59.0,1,0.0,0,1,428.027221679688,10.0,1
15817-82-11-2,2,2,50.0,1,1.0,1,0,428.027221679688,4.0,0
15817-82-11-3,3,1,27.0,1,0.0,1,0,428.027221679688,7.0,0
15817-82-11-4,3,2,22.0,1,0.0,0,0,428.027221679688,9.0,0
15817-82-11-5,6,2,98.0,1,0.0,0,0,428.027221679688,1.0,0
