CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal_2024,Billetera,CreditoFormal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15085,32,11,1,1,2,69,3.0,2,2,3, ,1,0.0,0.0,0.0,4,8,1,80.3816604614258,1,15085-32-11-1,69.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15085,37,11,1,1,1,57,6.0,5,5,3,7,1,0.0,0.0,0.0,4,8,1,80.3816604614258,3,15085-37-11-1,57.0,1,3.0,7.0,5.0,1.0,0,0,0,1,1,0,0,1.0,0
15085,38,11,1,1,1,69,4.0,5,2,3, ,1,0.0,0.0,0.0,4,8,1,80.3816604614258,2,15085-38-11-1,69.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15085,40,11,1,1,1,47,5.0,3,2,3, ,1,0.0,0.0,0.0,4,8,1,80.3816604614258,3,15085-40-11-1,47.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15090,29,11,1,1,1,72,4.0,5,4,3,7,1,0.0,0.0,0.0,4,8, ,74.3708267211914,2,15090-29-11-1,72.0,1,3.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15090,31,11,1,1,1,54,3.0,0,2,3, ,1,0.0,0.0,0.0,4,8, ,74.3708267211914,4,15090-31-11-1,54.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15090,32,11,1,1,1,77,3.0,1,2,3, ,1,0.0,0.0,0.0,4,8, ,74.3708267211914,3,15090-32-11-1,77.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15090,77,11,1,1,1,39,3.0,0,4,3,7,1,0.0,0.0,0.0,4,8, ,74.3708267211914,6,15090-77-11-1,39.0,1,3.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15090,82,11,1,1,2,90,1.0, , , , , ,0.0,0.0,0.0,4,8, ,74.3708267211914,1,15090-82-11-1,90.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15090,84,11,1,1,2,71,3.0,2,2,3, ,1,0.0,0.0,0.0,4,8, ,74.3708267211914,2,15090-84-11-1,71.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15090,85,11,1,1,1,35,4.0,0,2,3, ,1,0.0,0.0,0.0,4,8, ,74.3708267211914,4,15090-85-11-1,35.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15096,25,11,1,1,1,75,3.0,3,2,3, ,1,0.0,0.0,0.0,4,7,1,74.3708267211914,2,15096-25-11-1,75.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15096,26,11,1,1,1,74,6.0,5,2,3, ,1,0.0,0.0,0.0,4,7,1,74.3708267211914,4,15096-26-11-1,74.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15096,27,11,1,1,2,32,6.0,5,2,3, ,1,0.0,8.0,0.0,4,7,1,74.3708267211914,4,15096-27-11-1,32.0,1,3.0,,2.0,1.0,0,1,0,1,1,0,0,1.0,0
15096,87,11,1,1,1,57,3.0,0,2,3, ,1,0.0,0.0,0.0,4,7,1,74.3708267211914,4,15096-87-11-1,57.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15096,89,11,1,1,1,38,4.0,0,1,3, ,1,0.0,0.0,0.0,4,7,1,74.3708267211914,1,15096-89-11-1,38.0,1,3.0,,1.0,1.0,0,0,1,1,1,0,1,1.0,1
15097,3,11,1,1,1,56,9.0,1,2,3, ,1,0.0,0.0,0.0,4,8,1,80.3816604614258,2,15097-3-11-1,56.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15097,62,11,1,1,1,45,4.0,0,1,3, ,1,0.0,0.0,0.0,4,8,1,80.3816604614258,3,15097-62-11-1,45.0,1,3.0,,1.0,1.0,0,0,0,1,1,0,0,1.0,0
15097,63,11,1,1,1,89,4.0,5, , , , ,0.0,0.0,0.0,4,8,1,80.3816604614258,5,15097-63-11-1,89.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
