llave_persona,P203,P207,Edad,Ocupado,Informal,TenenciaBilletera,UsoBilletera,CreditoFormal_2024,FACTOR07,P301A,ESTRATO,DOMINIO,MIEPERHO,CONGLOME,CreditoFormal_2025,CreditoInformal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15166-140-11-1,1,1,34.0,1,1.0,0,0,0,71.17578125,5.0,7,7,6,15166,0,0,1,1,0,0,1.0,0
15166-141-11-1,1,1,35.0,1,1.0,0,0,0,71.17578125,6.0,7,7,5,15166,0,0,1,1,0,0,1.0,0
15166-142-11-1,1,1,64.0,1,1.0,0,0,0,71.17578125,4.0,7,7,5,15166,0,0,1,1,0,0,1.0,0
15166-144-11-1,1,1,36.0,1,0.0,0,0,0,71.17578125,6.0,7,7,4,15166,0,0,1,1,0,0,0.0,0
15167-117-11-1,1,2,65.0,1,1.0,0,0,0,65.3573379516602,1.0,7,7,3,15167,0,0,1,1,0,0,1.0,0
15167-119-11-1,1,2,57.0,1,1.0,0,0,0,65.3573379516602,1.0,7,7,5,15167,0,0,1,1,0,0,1.0,0
15167-255-11-1,1,1,49.0,1,1.0,0,0,0,65.3573379516602,5.0,7,7,5,15167,0,0,1,1,0,0,1.0,0
15169-1-11-1,1,1,61.0,1,1.0,0,0,0,65.2061309814453,4.0,7,7,3,15169,0,0,1,1,0,0,1.0,0
15169-3-11-1,1,1,68.0,1,1.0,0,0,0,65.2061309814453,6.0,7,7,3,15169,0,0,1,1,0,0,1.0,0
15169-121-11-1,1,1,59.0,1,1.0,0,0,0,65.2061309814453,3.0,7,7,6,15169,0,0,1,1,0,0,1.0,0
15169-123-11-1,1,2,61.0,1,1.0,0,0,0,65.2061309814453,1.0,7,7,1,15169,0,0,1,1,0,0,1.0,0
15169-124-11-1,1,1,33.0,1,1.0,1,0,0,65.2061309814453,6.0,7,7,4,15169,0,1,1,1,0,0,1.0,0
15169-125-11-1,1,1,30.0,1,1.0,0,0,0,65.2061309814453,4.0,7,7,3,15169,0,0,1,1,0,0,1.0,0
15171-10-11-1,1,1,53.0,1,1.0,0,0,0,56.599250793457,3.0,8,7,2,15171,0,0,1,1,0,0,1.0,0
15171-11-11-1,1,1,62.0,1,1.0,0,0,0,56.599250793457,4.0,8,7,2,15171,0,0,1,1,0,0,1.0,0
15171-12-11-1,1,1,92.0,1,1.0,0,0,0,56.599250793457,1.0,8,7,2,15171,0,0,1,1,0,0,1.0,0
15171-31-11-1,1,1,52.0,1,1.0,0,0,0,56.599250793457,8.0,8,7,3,15171,1,0,1,1,0,1,1.0,1
15171-33-11-1,1,1,45.0,1,1.0,0,0,0,56.599250793457,6.0,8,7,1,15171,0,0,1,1,0,0,1.0,0
15172-57-11-1,1,1,42.0,1,1.0,0,0,0,56.599250793457,3.0,7,7,8,15172,0,0,1,1,0,0,1.0,0
15172-182-11-1,1,1,54.0,1,1.0,0,0,0,56.599250793457,3.0,7,7,2,15172,0,0,1,1,0,0,1.0,0
15172-183-11-1,1,1,36.0,1,1.0,0,0,0,56.599250793457,6.0,7,7,5,15172,1,0,1,1,0,1,1.0,1
15172-184-11-1,1,1,33.0,1,1.0,0,0,0,56.599250793457,6.0,7,7,5,15172,0,0,1,1,0,0,1.0,0
15173-30-11-1,1,1,48.0,1,1.0,0,0,0,65.2061309814453,3.0,7,7,6,15173,0,0,1,1,0,0,1.0,0
15173-122-11-1,1,1,25.0,1,1.0,0,0,0,65.2061309814453,5.0,7,7,4,15173,0,0,1,1,0,0,1.0,0
15173-123-11-1,1,1,70.0,1,1.0,0,0,0,65.2061309814453,4.0,7,7,2,15173,0,0,1,1,0,0,1.0,0
15173-127-11-1,1,1,55.0,1,1.0,0,0,0,65.2061309814453,8.0,7,7,4,15173,0,0,1,1,0,0,1.0,0
15174-161-11-1,1,1,40.0,1,1.0,0,0,0,71.17578125,4.0,7,7,4,15174,0,0,1,1,0,0,1.0,0
15174-162-11-1,1,1,56.0,1,1.0,0,0,0,71.17578125,7.0,7,7,1,15174,0,0,1,1,0,0,1.0,0
15174-163-11-1,1,2,39.0,1,1.0,0,0,0,71.17578125,3.0,7,7,3,15174,0,0,1,1,0,0,1.0,0
15174-164-11-1,1,2,42.0,1,1.0,0,0,0,71.17578125,3.0,7,7,4,15174,0,0,1,1,0,0,1.0,0
15175-81-11-1,1,1,69.0,1,1.0,0,0,0,65.3573379516602,4.0,7,7,3,15175,0,0,1,1,0,0,1.0,0
15175-82-11-1,1,1,82.0,1,1.0,0,0,0,65.3573379516602,3.0,7,7,2,15175,0,0,1,1,0,0,1.0,0
15175-83-11-1,1,1,38.0,1,1.0,0,0,0,65.3573379516602,4.0,7,7,6,15175,0,1,1,1,0,0,1.0,0
15175-84-11-1,1,1,46.0,1,1.0,0,0,0,65.3573379516602,3.0,7,7,4,15175,0,0,1,1,0,0,1.0,0
15175-86-11-1,1,1,46.0,1,1.0,0,0,0,65.3573379516602,4.0,7,7,8,15175,0,0,1,1,0,0,1.0,0
15175-87-11-1,1,1,59.0,1,1.0,0,0,0,65.3573379516602,4.0,7,7,3,15175,0,0,1,1,0,0,1.0,0
15176-23-11-1,1,1,90.0,1,1.0,0,0,0,65.3573379516602,4.0,7,7,2,15176,0,0,1,1,0,0,1.0,0
15176-24-11-1,1,2,79.0,1,1.0,0,0,0,65.3573379516602,3.0,7,7,2,15176,0,0,1,1,0,0,1.0,0
15176-102-11-1,1,1,61.0,1,1.0,0,0,0,65.3573379516602,4.0,7,7,2,15176,0,0,1,1,0,0,1.0,0
15176-113-11-1,1,1,65.0,1,1.0,0,0,0,65.3573379516602,5.0,7,7,2,15176,0,0,1,1,0,0,1.0,0
15177-43-11-1,1,1,76.0,1,0.0,0,0,0,71.17578125,3.0,8,7,2,15177,0,0,1,1,0,0,0.0,0
15177-105-11-1,1,1,64.0,1,1.0,0,0,0,71.17578125,3.0,8,7,1,15177,0,0,1,1,0,0,1.0,0
15177-107-11-1,1,1,30.0,1,1.0,1,0,0,71.17578125,6.0,8,7,4,15177,0,0,1,1,0,0,1.0,0
15177-108-11-1,1,1,41.0,1,1.0,0,0,0,71.17578125,5.0,8,7,4,15177,0,0,1,1,0,0,1.0,0
15225-7-11-1,1,2,68.0,1,1.0,0,0,0,9.60091590881348,3.0,2,2,6,15225,0,0,1,1,0,0,1.0,0
15225-20-11-1,1,1,58.0,1,1.0,0,0,0,9.60091590881348,6.0,2,2,5,15225,0,0,1,1,0,0,1.0,0
15226-21-11-1,1,1,57.0,1,0.0,1,1,0,456.346343994141,9.0,2,2,5,15226,0,0,1,1,0,0,0.0,0
15226-92-11-1,1,1,61.0,1,0.0,1,1,0,456.346343994141,6.0,2,2,3,15226,1,0,1,1,0,1,0.0,1
15226-120-11-1,1,2,53.0,1,1.0,1,0,0,456.346343994141,4.0,2,2,3,15226,0,0,1,1,0,0,1.0,0
15226-135-11-1,1,2,55.0,1,1.0,1,0,0,456.346343994141,6.0,2,2,4,15226,0,0,1,1,0,0,1.0,0
15227-65-11-1,1,2,57.0,1,1.0,0,0,0,199.129119873047,6.0,2,2,3,15227,0,0,1,1,0,0,1.0,0
15227-81-11-1,1,2,50.0,1,1.0,1,0,0,199.129119873047,6.0,2,2,4,15227,0,0,1,1,0,0,1.0,0
15228-60-11-1,1,1,37.0,1,1.0,0,0,0,694.266906738281,3.0,2,2,6,15228,0,0,1,1,0,0,1.0,0
15228-87-11-1,1,1,41.0,1,1.0,0,0,0,694.266906738281,1.0,2,2,3,15228,0,0,1,1,0,0,1.0,0
15229-19-11-1,1,2,33.0,1,1.0,0,0,0,284.123107910156,6.0,2,2,2,15229,0,0,1,1,0,0,1.0,0
15229-51-11-1,1,1,68.0,1,1.0,0,0,0,284.123107910156,9.0,2,2,4,15229,0,0,1,1,0,0,1.0,0
15229-99-11-1,1,1,32.0,1,1.0,1,1,0,284.123107910156,9.0,2,2,1,15229,0,0,1,1,0,0,1.0,0
15229-115-11-1,1,1,32.0,1,1.0,0,0,0,284.123107910156,6.0,2,2,5,15229,0,0,1,1,0,0,1.0,0
15229-131-11-1,1,1,35.0,1,1.0,1,1,0,284.123107910156,5.0,2,2,5,15229,0,0,1,1,0,0,1.0,0
15230-123-11-1,1,1,48.0,1,0.0,0,0,0,212.267990112305,5.0,2,2,7,15230,0,0,1,1,0,0,0.0,0
15230-137-11-1,1,2,57.0,1,1.0,0,0,0,212.267990112305,8.0,2,2,2,15230,0,0,1,1,0,0,1.0,0
15231-27-11-1,1,2,53.0,1,0.0,1,1,0,452.176971435547,11.0,2,2,3,15231,0,0,1,1,0,0,0.0,0
15231-106-11-1,1,2,74.0,1,1.0,1,1,0,452.176971435547,4.0,2,2,6,15231,0,0,1,1,0,0,1.0,0
15233-14-11-1,1,1,63.0,1,0.0,0,0,0,608.461791992188,6.0,2,2,6,15233,0,0,1,1,0,0,0.0,0
15233-71-11-1,1,1,36.0,1,1.0,0,0,0,608.461791992188,4.0,2,2,1,15233,0,0,1,1,0,0,1.0,0
15233-108-22-1,1,1,39.0,1,1.0,1,0,0,608.461791992188,4.0,2,2,4,15233,0,0,1,1,0,0,1.0,0
